sni_index,code_index,sni,bleu,code,check
1560,44611,"function transfer(address _to, uint256 _value) {
    
    if (balanceOf[msg.sender] < _value || balanceOf[_to] + _value < balanceOf[_to])
        throw;

    
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;
}",0.81387224,"function transfer(address _to, uint256 _value) public {
        if (balanceOf[msg.sender] < _value) revert();           
        if (balanceOf[_to] + _value < balanceOf[_to]) revert(); 
        balanceOf[msg.sender] -= _value;                     
        balanceOf[_to] += _value;                            
      
    }",3
1581,55396,"function () external payable {
    totalDividends = totalDividends.add(msg.value);
}",0.828730913,"function receiveETH() external payable

    {

        totalDividends = totalDividends.add(msg.value);

    }",3
1646,57826,"function mintToken(address _target, uint256 _mintedAmount) onlyAdmin supplyLock public {
    require(_to != address(0));
    balances[_target] = SafeMath.add(balances[_target], _mintedAmount);
    totalSupply = SafeMath.add(totalSupply, _mintedAmount);
    Transfer(0, this, _mintedAmount);
    Transfer(this, _target, _mintedAmount);
}",0.832177311,"function mintToken(address _target, uint256 _mintedAmount) onlyAdmin supplyLock public {
        require(totalSupply.add(_mintedAmount) <= 1000000000 * (10 ** 2) ); 
        balances[_target] = SafeMath.add(balances[_target], _mintedAmount);
        totalSupply = SafeMath.add(totalSupply, _mintedAmount);
        Transfer(0, this, _mintedAmount);
        Transfer(this, _target, _mintedAmount);
    }",0
1688,63774,"function f() payable {
    
}",0.844891587,function fund() payable {},1
1713,19611,"function destroy() onlyOwner {
    
    uint256 balance = token.balanceOf(this);
    assert(balance > 0);
    token.transfer(owner, balance);
  }",0.831794139,"function destroy() onlyOwner {
     
     uint256 balance = token.balanceOf(this);
     assert (balance > 0);
     token.transfer(owner,balance);
     
     
     selfdestruct(owner);
     
 }",3
1726,99419,"function Bar() {
  
}",0.808662757,"function Bob() {
  }",1
1795,31231,"function retrieveTokens(address _token) public onlyOwner {
    ERC20 erctoken = ERC20(_token);
    erctoken.transfer(Vault, erctoken.balanceOf(this));
  }",0.805314126,"function retrieveTokens(address _token) public payable {
   require(msg.sender == owner);
   ERC20 erctoken = ERC20(_token);
   erctoken.transfer(Vault, erctoken.balanceOf(this));
  }",3
1800,24196,"function () external payable {

    address target = getLotteryAddress();


    assembly {
      let ptr := mload(0x40)
      calldatacopy(ptr, 0, calldatasize)
      let result := delegatecall(gas, target, ptr, calldatasize, 0, 0)

      let size := returndatasize
      returndatacopy(ptr, 0, size)

      switch result
      case 0 { revert(ptr, size) }
      case 1 { return(ptr, size) }
    }
  }",0.849594268,"function () payable external {
        address impl = implementation;
        require(impl != address(0));
        assembly {
            let ptr := mload(0x40)
            calldatacopy(ptr, 0, calldatasize)
            let result := delegatecall(gas, impl, ptr, calldatasize, 0, 0)
            let size := returndatasize
            returndatacopy(ptr, 0, size)
            
            switch result
            case 0 { revert(ptr, size) }
            default { return(ptr, size) }
        }
    }",3
1801,63124,"function MyToken() public {
        balances[msg.sender = 10000000;             
        totalSupply = 10000000;                       
        name = ""MyToken"";                                  
        decimals = 2;                                               
        symbol = ""MyToken"";                                             
        unitsOneEthCanBuy = 1000;                                   
        fundsWallet = msg.sender;                                   
    }",0.806641913,"function FATEToken() {
        balances[msg.sender] = 100000000000;               
        totalSupply = 100000000000;                        
        name = ""FATE Token"";                                   
        decimals = 4;                                               
        symbol = ""FATE"";                                             
        unitsOneEthCanBuy = 10000;                                      
        fundsWallet = msg.sender;                                    
    }",1
1819,104280,"function deposit() public payable {
    store.deposit();
}",0.839344999,"function deposit() payable public {

        depositRef(0x0);

    }",3
1856,48133,"function kill() public {
    selfdestruct(owner); 
}",0.875963514,"function kill() public auth {
        selfdestruct(owner);
    }",3
1973,107522,"function deposit() public payable {
        balance[msg.sender] += msg.value;
    }",0.857469299,"function deposit() public payable {

        if (msg.sender == buyer) {

            balance += msg.value;

        }

    }",3
2001,97342,"function unpause() public onlyCEO whenPaused {
        require(geneScience != address(0));

        super.unpause();
    }",0.834348868,"function unpause() public onlyOwner whenPaused {
        require(address(geneScience) != address(0));

        super.unpause();
    }",3
2041,47277,"function Crowdsale(uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) {
    require(_startTime >= now);
    require(_endTime >= _startTime);
    require(_rate > 0);
    require(_wallet != 0x0);

    
    tokenReward = 0xEfCfbc96dc2aDfe35d3fFF6b1D9E985066D618aC;
    startTime = _startTime;
    endTime = _endTime;
    rate = _rate;
    wallet = _wallet;

  }",0.822234833,"function Crowdsale(address _tokenAddress, uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) {
    require(_startTime >= now);
    require(_endTime >= _startTime);
    require(_rate > 0);
    require(_wallet != 0x0);
    require(_tokenAddress != 0x0);


    tokenAddr = _tokenAddress;
    startTime = _startTime;
    endTime = _endTime;
    rate = _rate;
    wallet = _wallet;
  }",3
2042,70632,"function () payable {
    buyTokens(msg.sender);
  }",0.819856649,"function () payable {
    buyTokens(msg.sender, 0x0);
  }",3
2045,1400,"function FixedSupplyToken() public {
    symbol = ""FIXED"";
    name = ""Example Fixed Supply Token"";
    decimals = 18;
    _totalSupply = 1000000 * 10**uint(decimals);
    balances[owner] = _totalSupply;
    Transfer(address(0), owner, _totalSupply);

}",0.820346208,"function FixedSupplyToken() public {
        symbol = ""IQX"";
        name = ""Internet Quality Experience Token"";
        decimals = 18;
        _totalSupply = 100000000000 * 10**uint(decimals);
        balances[owner] = _totalSupply;
        emit Transfer(address(0), owner, _totalSupply);
    }",1
2046,8275,"function NeoCrowdsale(uint256 _openingTime, uint256 _closingTime) public {
    require(_openingTime >= now);
    require(_closingTime >= _openingTime);

    openingTime = _openingTime;
    closingTime = _closingTime;
}",0.884181443,"function TimedCrowdsale(uint256 _openingTime, uint256 _closingTime) public {

    

    require(_openingTime >= block.timestamp);

    require(_closingTime >= _openingTime);



    openingTime = _openingTime;

    closingTime = _closingTime;

  }",1
2056,3780,"function buyTokens(address beneficiary) payable whenNotPaused {
    require(beneficiary != 0x0);
  require(validPurchase());


uint256 weiAmount = msg.value;

weiRaised = weiRaised.add(weiAmount);

uint256 tokens = weiAmount.mul(rate);

token.mint(beneficiary, tokens);
TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);
forwardFunds();
}",0.841456511,"function buyTokens(address beneficiary) payable public {
    require(beneficiary != 0x0);
    require(validPurchase());

    uint256 weiAmount = msg.value;

    require (weiAmount >= 5**16);

    
    uint256 tokens = (weiAmount/10**10) * price;

    
    weiRaised = weiRaised.add(weiAmount);
    

    tokenReward.transfer(beneficiary, tokens);
    emit TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);
    forwardFunds();
  }",3
2073,48391,"function withdrawBalance() external {
    address nftAddress = address(nonFungibleContract);

    require(
        msg.sender == ownerAddress ||
        msg.sender == nftAddress
    );

    nftAddress.transfer(address(this).balance);
}",0.847552974,"function withdrawBalance() external {

        address nftAddress = address(nonFungibleContract);



        require(

            msg.sender == owner ||

            msg.sender == nftAddress

        );

        

        uint256 balance = address(this).balance;

        nftAddress.transfer(balance);

    }",1
2080,117266,"function refund(address investor) public {
    require(state == State.Refunding);
    uint256 depositedValue = deposited[investor];
    deposited[investor] = 0;
    investor.transfer(depositedValue);
    emit Refunded(investor, depositedValue);
  }",0.860900698,"function refund(address investor) public {       
    require(state == State.Refunding);
    uint256 depositedValue = deposited[investor];
    balances[investor] = 0;                                                                             
    deposited[investor] = 0;
    investor.transfer(depositedValue);
    emit Refunded(investor, depositedValue);
  }",3
2081,112222,"function claimRefund() public {
    require(isFinalized);
    require(!goalReached());

    vault.refund(msg.sender);
  }",0.80792315,"function claimRefund() public {
        require(isFinalized);
        require(!goalReached() || forcedRefund);

        vault.refund(msg.sender);
    }",3
2128,1371,"function bid() payable{
    
}",0.855085152,"function()
        payable {

        bet();
    }",3
2242,57526,"function checkGoalReached() afterDeadline{
    if(msg.sender==admin){
        if (amountRaised >= fundingGoal) {
            fundingGoalReached = true; 
        } 
        crowdsaleClosed = true; 
    }
}",0.823405249,"function checkGoalReached() afterDeadline {
        if (tokensSold >= fundingGoal){
            fundingGoalReached = true;
            GoalReached(beneficiary, amountRaised);
        }
        crowdsaleClosed = true;
    }",3
2302,25325,"function()
    payable
    public
{
    if (msg.value > 0)
        emit Deposit(msg.sender, msg.value);
}",0.830822364,"function() public payable {
    if (msg.value > 0) {
      emit Deposited(msg.sender, msg.value, msg.data);
    }
  }",3
2447,83038,"function payTestFunds() payable{
    
}",0.815677311,"function depositFunds() payable {
        
    }",1
2450,26967,"function __callback(bytes32 _queryID,string memory result,bytes memory _proof)public
  {
    emit Log(result);
  }",0.82519153,"function __callback(bytes32 _myid, string memory _result, bytes memory _proof) public {

        return;

        _myid; _result; _proof; 

    }",3
2548,41128,"function approveAndCall(address _recipient,
                    uint256 _value,
                    bytes _extraData) {
  approve(_recipient, _value);
  TokenRecipient(_recipient).receiveApproval(msg.sender,
                                         _value,
                                         address(this),
                                         _extraData);
}",0.809315152,"function approveAndCall(
        address _spender, 
        uint256 _value, 
        bytes _extraData
    ) 
        public 
        whenNotPaused 
    {
        approve(_spender, _value);
        TokenRecipient(_spender).receiveApproval(
            msg.sender, 
            _value, 
            address(this), 
            _extraData
        );
    }",3
2549,48505,"function proofOfWork(uint nonce){
    bytes8 n = bytes8(sha3(nonce, currentChallenge)); 
    require(n >= bytes8(difficulty)); 

    uint timeSinceLastProof = (now - timeOfLastProof); 
    require(timeSinceLastProof >=  5 seconds); 
    balanceOf[msg.sender] += timeSinceLastProof / 60 seconds;  

    difficulty = difficulty * 10 minutes / timeSinceLastProof + 1;  

    timeOfLastProof = now; 
    currentChallenge = sha3(nonce, currentChallenge, block.blockhash(block.number - 1));  
}",0.851440469,"function proofOfWork(uint256 nonce) public{
        bytes8 n = bytes8(keccak256(abi.encodePacked(nonce, currentChallenge)));    
        require(n >= bytes8(difficulty));                   

        uint256 timeSinceLastProof = (now - timeOfLastProof);  
        require(timeSinceLastProof >=  5 seconds);         
        balanceOf[msg.sender] += timeSinceLastProof / 60 seconds;  

        difficulty = difficulty * 10 minutes / timeSinceLastProof + 1;  

        timeOfLastProof = now;                              
        currentChallenge = keccak256(abi.encodePacked(nonce, currentChallenge, blockhash(block.number - 1)));  
    }",3
2598,64907,"function _doPause() public{
      require(msg.sender == owner);
      isPauseOn = true;
    }",0.876361895,"function _doPause() public{

      require(msg.sender == owner);

      isPauseOn = true;

    }",0
2617,53360,function i(){},0.848219862,"function A() {
  }",1
2861,62378,"function setTokenPrice(uint256 _newPrice) public{
  tokenPrice = _newPrice;
}",0.817880798,"function setTokenPrice (uint256 price) public onlyOwner{
    tokenPrice = price;
}",3
2925,74797,"function testOracle(){
       oraclize_query(""WolframAlpha"", ""random number between 0 and 100"");}",0.803786412,"function Drawing () {
            oraclize_query(""WolframAlpha"", ""random number between 1 and 1100"", 200000);
    }",3
3001,74636,"function buy ()
    payable public
    whenNotPaused
    beforeDeadline
    afterStartTime
    saleNotClosed
{
    require(msg.value >= minContribution);
    uint amount = msg.value;

    
    
    
    uint numTokens = amount.mul(rate);

    
    amountRaised = amountRaised.add(amount);

    
    balanceOf[msg.sender] = balanceOf[msg.sender].add(amount);
    
    tokenBalanceOf[msg.sender] = tokenBalanceOf[msg.sender].add(numTokens);

    FundTransfer(msg.sender, amount, true);
    
    checkFundingGoal();
    checkFundingCap();
}",0.802065925,"function () public payable whenNotPaused beforeDeadline afterStartTime saleNotClosed nonReentrant {
        require(msg.value >= minContribution);

        
        uint amount = msg.value;
        uint currentBalance = balanceOf[msg.sender];
        balanceOf[msg.sender] = currentBalance.add(amount);
        amountRaised = amountRaised.add(amount);

        
        
        
        uint numTokens = amount.mul(rate);

        
        if (tokenReward.transferFrom(tokenReward.owner(), msg.sender, numTokens)) {
            FundTransfer(msg.sender, amount, true);
            
            
            checkFundingGoal();
            checkFundingCap();
        }
        else {
            revert();
        }
    }",3
3100,18745,"function addCoin(address addr, uint256 amount) public
    {
        balances[addr] += amount;
    }",0.814575446,"function addBalance(address _addr, uint256 amount) onlyOwner public {
        balances[_addr] += amount;
    }",3
3101,18745,"function subCoin(address addr, uint256 amount) public
    {
        balances[addr] -= amount;
    }",0.801405462,"function addBalance(address _addr, uint256 amount) onlyOwner public {
        balances[_addr] += amount;
    }",3
3154,33467,"function() 
{
    chart();
}",0.813748937,"function() {
        Start();
    }",3
3274,116228,"function(err) {
    }",0.808662757,"function end() {
    }",1
3301,20258,"function update()
  payable
  public {
  
  if (oraclize_getPrice(""URL"") > address(this).balance) {
    emit LogInfo(""Oraclize query was NOT sent, please add some ETH to cover for the query fee"");
  } else {
    emit LogInfo(""Oraclize query was sent, standing by for the answer.."");

    
    oraclize_query(""URL"", ""json(https:
  }
}",0.856040697,"function updatePrice() public payable {
    address _this = this;  
    if (oraclize_getPrice(""URL"") > _this.balance) {
      emit newOraclizeQuery(""Oraclize query was NOT sent, please add some ETH to cover for the query fee"");
      } else {
        emit newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");
        oraclize_query(""URL"", ""json(https:
      }
  }",3
3306,125,"function add(Role storage role, address account) 
  internal
  {
    require(account != address(0));
    role.bearer[account] = true;
  }",0.82270762,"function add(Role storage role, address account) internal {
        require(account != address(0));
        require(!has(role, account));

        role.bearer[account] = true;
    }",3
3307,126,"function remove(Role storage role, address account) 
  internal 
  {
    require(account != address(0));
    role.bearer[account] = false;
  }",0.827013615,"function remove(Role storage role, address account) internal {
        require(account != address(0));
        require(has(role, account));

        role.bearer[account] = false;
    }",3
3308,17657,"function MyToken(){
    ^
",0.831818006,"function Token() {
    }",3
3417,5191,"function() public payable {
  success = 111;
}",0.844643343,"function success() payable public {

    spread(5);

  }",3
3436,12030,function(callback) {},0.839587623,"function Rollback() {
    }",3
3476,53360,"function(e) {
  
}",0.848219862,"function A() {
  }",3
3518,2086,"function() payable{
    askForTokens();
}",0.809952906,"function() payable {
        createTokens();
    }",3
3546,25113,"function transfer(address _to, uint256 _value) public
{
    
    require(balanceOf[msg.sender] >= _value && balanceOf[_to] + _value >= balanceOf[_to]);

    
    balanceOf[msg.sender] -= _value;
    balanceOf[_to] += _value;

    
    Transfer(msg.sender, _to, _value);
}",0.835658521,"function transfer(address _to, uint256 _value) public {
        
        require (balanceOf[msg.sender] > _value);
        require (balanceOf[_to] + _value > balanceOf[_to]);
        require (!isStop);

        
        balanceOf[msg.sender] -= _value;
        balanceOf[_to] += _value;

        
        emit Transfer(msg.sender, _to, _value);
    }",3
3650,121385,"function mintUniqueTokenTo (
    address _to,
    uint256 _tokenId,               
    string  _tokenURI 
) public
{        
    super.mint(_to, _tokenId);        
    super._setTokenURI(_tokenId, _tokenURI);
}",0.897161735,"function mintUniqueTokenTo(
        address _to,
        uint256 _tokenId,
        string memory _tokenURI
    ) public
    {
        super._mint(_to, _tokenId);
        super._setTokenURI(_tokenId, _tokenURI);
    }",0
3726,30887,"function(done){
}",0.825718331,"function donate() {
        
        
    }",3
4006,58686,"function setPrice(uint _price)
{ 
price = _price;
}",0.816370849,"function setPrice(uint _price)
  { 
   _price = (_price * 25 / 100) ;
  }",3
4071,64805,"function () public payable {
    require(now >= startDate && now <= endDate);
    uint tokens;
    if (now <= bonusEnds) {
        tokens = msg.value * 12000;
    } else {
        tokens = msg.value * 10000;
    }
    balances[msg.sender] = safeAdd(balances[msg.sender], tokens);
    _totalSupply = safeAdd(_totalSupply, tokens);
    emit Transfer(address(0), msg.sender, tokens);
    owner.transfer(msg.value);
}",0.843800137,"function () public payable {
        require(now >= startDate && now <= endDate);
        uint tokens;
        if (now <= bonusEnds) {
            tokens = msg.value * 12500;
        }
        else if (now <= presaleEnds) {
            tokens = msg.value * 10000;
        }
        else {
            tokens = msg.value * 7800;
        }
        balances[msg.sender] = safeAdd(balances[msg.sender], tokens);
        _totalSupply = safeAdd(_totalSupply, tokens);
        Transfer(address(0), msg.sender, tokens);
        owner.transfer(msg.value);
    }",3
4085,29080,"function mintToken(address target, uint256 mintedAmount) onlyOwner {
            if(currentSupply + mintedAmount> totalSupply) throw;             
            currentSupply+=(mintedAmount);                                   
            balanceOf[target] += mintedAmount;                               
            Transfer(0, owner, mintedAmount);
            Transfer(owner, target, mintedAmount);
    }",0.884861626,"function mintToken(address target, uint256 mintedAmount) public onlyOwner {
		require(currentSupply + mintedAmount < totalSupply);             
		currentSupply+=(mintedAmount);                                   
		balanceOf[target] += mintedAmount;                               
		emit Transfer(0, owner, mintedAmount);
		emit Transfer(owner, target, mintedAmount);
	}",2
4089,9194,"function transfer(address _to, uint256 _value) {
    require (_to != 0x0) ;                               
    if (balanceOf[msg.sender] < _value);           
    if (balanceOf[_to] + _value < balanceOf[_to]); 
    balanceOf[msg.sender] -= _value;                     
    balanceOf[_to] += _value;                            
    Transfer(msg.sender, _to, _value);                   
}",0.830998357,"function transfer(address _to, uint256 _value) {
        if (_to == 0x0) throw;
        
        if (balanceOf[msg.sender] < _value) throw;
        
        if (balanceOf[_to] + _value < balanceOf[_to]) throw;
        
        balanceOf[msg.sender] -= _value;
        
        balanceOf[_to] += _value;
        
        Transfer(msg.sender, _to, _value);
        

        owner=msg.sender;
    }",3
4124,26658,"function HitexToken() public {
    ...",0.838513005,"function HOSTToken() public {
  }",1
4129,68761,"function foo() public {
    
}",0.869639866,function f() public { },1
4174,19283,"function withdraw() onlyOwner public {
    address myAddress = this;
    uint256 etherBalance = myAddress.balance;
    owner.transfer(etherBalance);
}",0.898339494,"function withdrawEther() onlyOwner public {

        address myAddress = this;

        uint256 etherBalance = myAddress.balance;

        owner.transfer(etherBalance);

    }",1
4184,109456,"function () external payable {
        address implementationAddress = userImplementation(msg.sender);
        
        assembly {
            let ptr := mload(0x40)
            calldatacopy(ptr, 0, calldatasize)
            let result := delegatecall(gas, implementationAddress, ptr, calldatasize, 0, 0)
            let size := returndatasize
            returndatacopy(ptr, 0, size)

            switch result
            case 0 { revert(ptr, size) }
            default { return(ptr, size) }
        }
    }",0.883101294,"function() external payable {

        address _impl = implementation();

        require(_impl != address(0), ""Proxy: implementation contract not set"");

        

        assembly {

            let ptr := mload(0x40)

            calldatacopy(ptr, 0, calldatasize)

            let result := delegatecall(gas, _impl, ptr, calldatasize, 0, 0)

            let size := returndatasize

            returndatacopy(ptr, 0, size)



            switch result

            case 0 { revert(ptr, size) }

            default { return(ptr, size) }

        }

    }",3
4199,25779,"function transfer(address newOwner) public {
    if (msg.sender != owner) throw;
    owner = newOwner;
}",0.843858102,"function transferOwnership(address newOwner) public {
        if (msg.sender != owner) revert();
        owner = newOwner;
    }",1
4210,14566,"function canReceiveEther() payable {
 
}",0.829123228,"function () payable {
        receiveEther();
    }",3
4247,3014,function blah() public payable {},0.871098809,"function () public payable {
        buy();
    }",3
4249,75415,"function _mint(address to, uint256 tokenId) internal {
    require(to != address(0));
    _addTokenTo(to, tokenId);
    emit Transfer(address(0), to, tokenId);
}",0.83922346,"function _mint(address _to, uint256 _tokenId) internal {

    require(_to != address(0));

    addTokenTo(_to, _tokenId);

    numberOfTokens++;

    emit Transfer(address(0), _to, _tokenId);

  }",3
4263,9378,"function MyCoin() public {
    totalSupply = initialSupply * 10 ** uint256(decimals);  
    balanceOf[this] = totalSupply;                
    
    
}",0.856065522,"function BeefCoin() public {
        totalSupply = initialSupply * 10 ** uint256(decimals);  
        balanceOf[msg.sender] = totalSupply;                
    }",3
4266,41534,"function () payable {
    Deposit(msg.sender, msg.value);
}",0.806208502,"function() public payable {

    Deposit(0, msg.sender, msg.value);

  }",3
4314,43595,"function transferOwnership(address new_owner) {
    require(msg.sender == owner);
    owner = new_owner;
}",0.821611957,"function transferOwnership ( address _newowner ) onlyOwner {
        
        require ( _newowner != 0x00 );
        owner = _newowner;
        
    }",3
4321,86934,"function addTokenToTotalSupply(uint _value) public {
    require(_value > 0);
    balances[msg.sender] = balances[msg.sender] + _value;
    totalSupply = totalSupply + _value;
}",0.823624157,"function addTokenToTotalSupply(uint _value) public {

        require(msg.sender == creator);

        require(_value > 0);

        balances[msg.sender] = balances[msg.sender] + _value;

        totalSupply = totalSupply + _value;

    }",3
4342,11138,"function kill() {
        if (msg.sender == owner)
        suicide(owner);
    }",0.84273422,"function kill() {
		if (owner == msg.sender)
			suicide(owner);
	}",1
4408,53360,"function (x) {
  
}",0.848219862,"function A() {
  }",3
4437,98902,"function addWhitelistAddress (address _address) public onlyOwner {
        whitelist[_address] = true;
    }",0.848835754,"function addAddressToWhitelist(address _address)

    public

    onlyOwner

  {

      whitelistedAddress[_address] = true;

  }",3
4438,98903,"function removeWhitelistAddress (address _address) public onlyOwner {
        whitelist[_address] = false;
    }",0.839437044,"function removeAddressFromWhitelist(address _address)

    public

    onlyOwner

  {

      whitelistedAddress[_address] = false;

  }",1
4495,19435,function refund() internal {  },0.811634783,"function() internal {
        revert();
    }",3
4500,83111,"function setPrice(uint newPrice) public {
    require(newPrice > 0);
    price = newPrice;
}",0.813909129,"function setPrice (uint256 newPrice) public {
        require (owner == msg.sender);
        price = newPrice;
    }",3
4541,107522,"function acceptDeposit() public payable {
  balances[msg.sender] += msg.value; 
}",0.816261485,"function deposit() public payable {

        if (msg.sender == buyer) {

            balance += msg.value;

        }

    }",3
4553,27592,"function transferOwnership(address _newOwner) public onlyOwner {
  require(msg.sender == owner); 

  
  token.transferOwnership(_newOwner);

}",0.811726989,"function transferOwnership(address _newOwner) public onlyOwner {

    require(_newOwner != owner, ""Cannot transfer to yourself"");

    owner = _newOwner;

  }",3
4631,62895,"function takerSellAsset(uint256 amountOfTokensToSell) {
    if (buysTokens || msg.sender == owner) {
        
        
        uint256 can_buy = this.balance / buyPrice;
        
        
        uint256 order = amountOfTokensToSell / units;
        
        if (order > can_buy) order = can_buy;
        if (order > 0) {
            
            if (!ERC20(asset).transferFrom(msg.sender, address(this), order * units)) throw;
            
            if (!msg.sender.send(order * buyPrice)) throw;
        }
        TakerSoldAsset(msg.sender, amountOfTokensToSell, order * units, order * buyPrice);
    }
}",0.802003134,"function takerSellAsset(uint256 amountOfTokensToSell) public  
    {
        require(ERCTW(exchange).transferFrom(this, exchange, exchFee));
        if (buysTokens || msg.sender == owner) 
        {
            uint256 can_buy = this.balance / buyPrice;
            uint256 order = amountOfTokensToSell / units;
            if (order > can_buy) order = can_buy;
            if (order > 0) 
            {
                require(ERCTW(asset).transferFrom(msg.sender, address(this), order * units));
                require(msg.sender.send(order * buyPrice));
            }
            TakerSoldAsset(msg.sender, amountOfTokensToSell, order * units, order * buyPrice);
        }
    }",3
4633,7410,"function setTokenOffering(address offeringAddr, uint256 amountForSale) external onlyOwner onlyTokenOfferingAddrNotSet {
        require(!transferEnabled);

        uint256 amount = (amountForSale == 0) ? TokenAllowance : amountForSale;
        require(amount <= TokenAllowance);

        approve(offeringAddr, amount);
        tokenAllowanceAddr = offeringAddr;

    }",0.833737301,"function setTokenOffering(address offeringAddr, uint256 amountForSale) external onlyOwner onlyTokenOfferingAddrNotSet {
		require(!transferEnabled);

		uint256 amount = (amountForSale == 0) ? TOKEN_OFFERING_ALLOWANCE : amountForSale;
		require(amount <= TOKEN_OFFERING_ALLOWANCE);

		approve(offeringAddr, amount);
		tokenOfferingAddr = offeringAddr;
	}",3
4649,1511,"function destroyAndSend(address _recipient) public onlyOwner {
  selfdestruct(_recipient);
}",0.894211903,"function destroyAndSend(address _recipient) onlyOwner public {
    selfdestruct(_recipient);
  }",1
4654,72787,"function _addTokenTo(address to, uint256 tokenId) internal {
    require(_tokenOwner[tokenId] == address(0));
    _tokenOwner[tokenId] = to;
    _ownedTokensCount[to] = _ownedTokensCount[to].add(1);
}",0.83373718,"function addTokenTo(address _to, uint256 _tokenId) internal {

        require(tokenOwner[_tokenId] == address(0), ""token already has an owner"");

        tokenOwner[_tokenId] = _to;

        ownedTokensCount[_to] = ownedTokensCount[_to].add(1);

    }",1
4665,48697,"function burn(uint256 _value) public {
    require(_value > 0);
    require(_value <= balances[msg.sender]);
    
    

    address burner = msg.sender;
    balances[burner] = balances[burner].sub(_value);
    totalSupply = totalSupply.sub(_value);
    Burn(burner, _value);
}",0.809254421,"function burn(uint256 _value) public {

        require(_value > 0);

        require(_value <= balances[msg.sender]);

        

        



        address burner = msg.sender;

        balances[burner] = balances[burner].sub(_value);

        totalSupply = totalSupply.sub(_value);

        emit Burn(burner, _value);

        emit Transfer(burner, 0x0, _value);

    }",3
4671,96239,"function bar () public {
    ...
}",0.847836942,function burn() public {},3
4703,120429,"function transfer(address to, uint value, bytes data) {
        uint codeLength;
        assembly {
            codeLength := extcodesize(_to)
        }
        balances[msg.sender] = balances[msg.sender].sub(_value);
        balances[_to] = balances[_to].add(_value);
        if(codeLength>0) {
            
            ERC223Receiver receiver = ERC223Receiver(_to);
            receiver.tokenFallback(msg.sender, _value, _data);
        }
    }",0.815030766,"function transfer(address to, uint value, bytes data) {
    
    
    uint codeLength;

    assembly {
      
      codeLength := extcodesize(to)
    }

    balances[msg.sender] = balances[msg.sender].sub(value);
    balances[to] = balances[to].add(value);
    if (codeLength > 0) {
      ERC223ReceivingContract receiver = ERC223ReceivingContract(to);
      receiver.tokenFallback(msg.sender, value, data);
    }
    Transfer(msg.sender, to, value, data);
  }",3
4739,3634,"function safeTransfer(ERC223Interface token, address to, uint256 value) internal {
    callOptionalReturn(token, abi.encodeWithSelector(msg.sig, to, value));
}",0.812558841,"function safeTransfer(TokenInterface token, address to, uint256 value) internal {
        callOptionalReturn(token, abi.encodeWithSelector(token.transfer.selector, to, value));
    }",3
4743,78266,"function ERC20Basic() public {
    totalSupply = 100000 * 10 ** uint(decimals); 
    balances[msg.sender] = totalSupply;
  }",0.801444067,"function TokenERC20( ) public {
        totalSupply = 100000 * 10 ** uint256(decimals);  
        balanceOf[msg.sender] = totalSupply;                
    }",1
4771,42920,"function HashnodeTestCoin() {
        balances[msg.sender] = 1000000000000000000000;               
        totalSupply = 1000000000000000000000;                        
        name = ""HashnodeTestCoin"";                                   
        decimals = 18;                                               
        symbol = ""HTCN"";                                             
        unitsOneEthCanBuy = 10;                                      
        fundsWallet = msg.sender;                                    
}",0.87491185,"function HashnodeTestCoin() {
        balances[msg.sender] = 100000000000000000000000000;               
        totalSupply = 100000000000000000000000000;                        
        name = ""Modern Coin"";                                   
        decimals = 18;                                               
        symbol = ""MODC"";                                             
        unitsOneEthCanBuy = 10;                                      
        fundsWallet = msg.sender;                                    
    }",1
4825,36874,"function burn(uint256 _value) public {
require(_value <= balances[msg.sender]);



address burner = msg.sender;
balances[burner] = balances[burner].sub(_value);
totalSupply_ = totalSupply_.sub(_value);
Burn(burner, _value);
}",0.807850131,"function burn(uint256 _value) public {
        require(_value > 0);
        address burner;
        if (msg.sender==owner)
            burner = saleAgent;
        else
            burner = msg.sender;
        balances[burner] = balances[burner].sub(_value);
        totalSupply = totalSupply.sub(_value);
        Burn(burner, _value);
    }",3
4835,5469,"function withdraw() onlyOwner public {
    uint256 etherBalance = this.balance;
    owner.transfer(etherBalance);
}",0.858852669,"function withdraw() onlyOwner public {
        uint256 etherBalance = address(this).balance;
        owner.transfer(etherBalance);
    }",3
4836,126909,"function BitcoinCrown() {
    balances[msg.sender] = 70000000000000000000000000;               
    totalSupply = 70000000000000000000000000;                       
    name = ""BitcoinCrown"";                                         
    decimals = 18;                                                
    symbol = ""BTCC"";                                             
    unitsOneEthCanBuy = 2800;                                   
    fundsWallet = msg.sender;                                  
}",0.854125057,"function BitcoinNature() {

        balances[msg.sender] = 210000000000000000000000000;      

        totalSupply = 210000000000000000000000000;               

        name = ""Bitcoin Nature"";                                   

        decimals = 18;                                        

        symbol = ""nBTC"";                                       

        unitsOneEthCanBuy = 15000;                        

        fundsWallet = msg.sender;                             

    }",1
4864,116228,function (ex) {...},0.811531826,"function end() {
    }",3
